dimension,trait,text
Energy,Introvert,You are more comfortable observing a conversation than participating in it.
Energy,Introvert,You prefer staying out of the spotlight in group settings.
Energy,Introvert,You enjoy deep conversations with a few close friends.
Energy,Introvert,You enjoy having time to reflect on your thoughts and feelings.
Energy,Introvert,You enjoy solitary hobbies like reading or writing.
Energy,Introvert,"You enjoy spending time on solitary activities, such as reading, writing, or crafting."
Energy,Introvert,You feel drained after large social gatherings.
Energy,Introvert,You find social interactions take energy rather than give it.
Energy,Introvert,You feel more comfortable in one-on-one conversations than in groups.
Energy,Introvert,You feel more comfortable in small groups or one-on-one settings.
Energy,Introvert,You feel most energized after spending time alone or with just one close friend.
Energy,Introvert,You find it difficult to express your opinions and feelings openly.
Energy,Introvert,You find it easier to express yourself in writing than speaking.
Energy,Introvert,You find that large social gatherings often leave you feeling drained or overwhelmed.
Energy,Introvert,You need time to process your thoughts before sharing them with others.
Energy,Introvert,You rarely initiate conversations with new people.
Energy,Introvert,You often need time alone to recharge after social interactions.
Energy,Introvert,You often need time to process your thoughts and feelings.
Energy,Introvert,You prefer familiar routines over seeking out new and exciting experiences.
Energy,Introvert,You prefer to focus on one task at a time.
Energy,Introvert,You prefer to observe others before joining in a conversation.
Energy,Introvert,You prefer to spend time alone or with a small group of close friends.
Energy,Introvert,You prefer to spend your free time alone rather than with others.
Energy,Introvert,You prefer to spend your free time alone rather than socializing.
Energy,Introvert,You prefer to stick to familiar routines and habits.
Energy,Introvert,You prefer to think things through before speaking.
Energy,Introvert,You prefer to work on projects independently rather than in groups.
Energy,Introvert,You prefer working independently rather than in groups.
Energy,Introvert,You prefer written communication over face-to-face conversations.
Energy,Introvert,You recharge your energy by spending time alone rather than socializing.
Energy,Introvert,You recharge your energy by spending time alone.
Energy,Introvert,You tend to be more reserved and quiet than outgoing and assertive.
Energy,Introvert,You tend to be more reserved in social situations.
Energy,Introvert,You tend to keep your thoughts and feelings private.
Energy,Introvert,You tend to listen more than you talk.
Energy,Introvert,You tend to think before speaking or acting.
Energy,Introvert,You tend to think deeply and reflect on your thoughts before speaking.
Energy,Introvert,You enjoy hobbies that you can do on your own.
Energy,Introvert,You feel drained after spending too much time in social gatherings.
Energy,Introvert,You feel more energized after spending time alone.
